start,h1_h2_512b,h1_h3_1512b,h1_h2_1512b,h1_h5_1512b,h1_h3_64b,h1_h5_512b,h1_h5_64b,h1_h2_64b,h1_h3_512b
0.0,1693.066,3316.237,3730.709,3286.067,217.079,1724.944,213.16,208.272,1516.02
1.0,1709.107,3640.303,3746.089,3737.12,223.562,1685.515,223.831,172.446,1534.844
2.0,1718.519,3816.777,4001.337,3035.122,217.338,1740.377,221.889,184.64,1509.782
3.0,1681.614,3827.523,3929.287,3015.32,207.886,1752.017,212.514,195.791,1670.496
4.0,1673.738,3854.732,3921.193,3583.988,201.525,1731.809,210.471,210.749,1713.266
5.0,1497.338,3729.481,3953.635,3355.53,208.301,1813.457,217.333,215.378,1739.661
6.0,1716.116,3654.12,3948.322,2936.431,213.376,1808.382,210.407,210.955,1774.125
7.0,1690.972,3688.92,3875.166,2933.816,222.0,1777.186,206.033,214.199,1710.741
8.0,1723.008,3740.872,3875.853,3189.846,69.259,1816.769,218.348,67.173,1655.131
9.0,1717.726,3494.385,3861.538,3092.273,153.077,1722.367,219.468,138.733,1654.904
10.0,1693.247,3619.391,3977.964,3168.149,222.487,1653.519,189.103,209.007,1586.511
11.0,1714.832,3607.527,3877.418,3401.644,228.324,1644.87,189.659,208.498,1592.125
12.0,1816.969,3665.956,3757.227,3321.134,231.391,1665.835,190.868,209.915,1629.25
13.0,1749.594,3736.194,3765.193,3475.787,226.87,1728.991,151.812,206.374,1655.11
14.0,1712.084,3763.31,3745.452,3488.089,229.671,1719.076,212.753,208.678,1664.022
15.0,1713.456,3769.741,3824.312,3176.313,213.089,1725.992,212.018,209.57,1664.839
16.0,1729.959,3699.756,3864.902,3292.055,211.498,1714.97,213.598,207.188,1690.465
17.0,1742.699,3707.463,3872.628,3371.7,210.317,1719.445,212.074,207.895,1489.228
18.0,1751.807,3607.304,3895.241,3382.102,212.935,1757.56,212.45,230.487,1202.903
19.0,1773.793,3632.401,3980.692,3373.365,219.319,1734.571,214.019,223.823,1290.597
20.0,1767.814,3760.419,3904.968,3269.011,225.723,1687.091,207.841,221.533,1032.991
21.0,1726.554,3750.792,3886.697,3216.028,208.52,1720.914,165.322,219.01,1064.926
22.0,1685.286,3815.556,3806.266,3504.284,219.204,1724.2,36.739,220.117,986.695
23.0,1694.12,3792.194,3706.607,3454.163,218.752,1719.405,228.675,224.007,900.413
24.0,1697.249,3489.987,3688.046,3558.931,216.562,1715.949,229.14,225.187,1020.557
25.0,1732.994,3679.256,3724.368,3390.808,216.331,1635.155,233.747,226.804,1264.119
26.0,1736.547,3640.476,3730.594,3181.694,217.956,1653.068,222.93,211.849,1224.241
27.0,1694.674,3723.706,3741.664,2577.653,217.881,1675.563,217.065,219.455,1205.54
28.0,1689.202,3811.173,3823.981,3167.814,221.373,1711.624,212.807,218.259,1194.921
29.0,1436.271,3835.175,3775.31,2993.29,215.894,1711.118,214.706,216.892,1131.444
30.0,176.671,3799.588,2378.868,3256.37,217.92,1667.905,217.402,221.133,1229.819
31.0,1720.724,3749.856,1286.194,3462.281,215.253,1664.0,219.684,228.338,1129.481
32.0,1651.209,3719.337,3964.809,3501.624,212.713,1393.429,225.698,233.259,1414.67
