start,h1_h3_1512b,h1_h3_64b,h1_h3_512b
0.0,3316.237,217.079,1516.02
1.0,3640.303,223.562,1534.844
2.0,3816.777,217.338,1509.782
3.0,3827.523,207.886,1670.496
4.0,3854.732,201.525,1713.266
5.0,3729.481,208.301,1739.661
6.0,3654.12,213.376,1774.125
7.0,3688.92,222.0,1710.741
8.0,3740.872,69.259,1655.131
9.0,3494.385,153.077,1654.904
10.0,3619.391,222.487,1586.511
11.0,3607.527,228.324,1592.125
12.0,3665.956,231.391,1629.25
13.0,3736.194,226.87,1655.11
14.0,3763.31,229.671,1664.022
15.0,3769.741,213.089,1664.839
16.0,3699.756,211.498,1690.465
17.0,3707.463,210.317,1489.228
18.0,3607.304,212.935,1202.903
19.0,3632.401,219.319,1290.597
20.0,3760.419,225.723,1032.991
21.0,3750.792,208.52,1064.926
22.0,3815.556,219.204,986.695
23.0,3792.194,218.752,900.413
24.0,3489.987,216.562,1020.557
25.0,3679.256,216.331,1264.119
26.0,3640.476,217.956,1224.241
27.0,3723.706,217.881,1205.54
28.0,3811.173,221.373,1194.921
29.0,3835.175,215.894,1131.444
30.0,3799.588,217.92,1229.819
31.0,3749.856,215.253,1129.481
32.0,3719.337,212.713,1414.67
33.0,3681.572,216.427,1485.47
34.0,3773.362,217.533,1510.056
35.0,3696.835,217.174,1514.02
36.0,3684.285,217.95,1526.147
37.0,3448.591,219.79,1437.332
38.0,3555.955,219.601,1493.245
39.0,3549.544,224.243,1523.957
40.0,3626.772,218.994,1505.182
41.0,3651.03,217.381,1407.962
42.0,3663.334,219.657,1423.968
43.0,3459.683,219.292,1395.919
44.0,1035.188,209.866,621.479
45.0,2566.03,215.095,861.37
46.0,3535.73,216.6,1457.894
47.0,3191.717,203.805,1283.695
48.0,3562.477,212.772,1425.697
49.0,3611.637,206.458,1441.134
50.0,3657.645,206.524,1448.446
51.0,3766.4,210.19,1239.905
52.0,3744.41,211.67,1285.996
53.0,978.275,217.933,1321.055
54.0,2795.977,215.806,1359.922
55.0,3681.617,207.892,1486.376
56.0,3852.236,212.195,1521.516
57.0,3956.425,204.995,1404.492
58.0,3807.276,209.596,1391.939
59.0,3753.62,204.915,1528.314
