start,h1_h3_64b,h1_h5_64b,h1_h2_64b
0.0,217.079,213.16,208.272
1.0,223.562,223.831,172.446
2.0,217.338,221.889,184.64
3.0,207.886,212.514,195.791
4.0,201.525,210.471,210.749
5.0,208.301,217.333,215.378
6.0,213.376,210.407,210.955
7.0,222.0,206.033,214.199
8.0,69.259,218.348,67.173
9.0,153.077,219.468,138.733
10.0,222.487,189.103,209.007
11.0,228.324,189.659,208.498
12.0,231.391,190.868,209.915
13.0,226.87,151.812,206.374
14.0,229.671,212.753,208.678
15.0,213.089,212.018,209.57
16.0,211.498,213.598,207.188
17.0,210.317,212.074,207.895
18.0,212.935,212.45,230.487
19.0,219.319,214.019,223.823
20.0,225.723,207.841,221.533
21.0,208.52,165.322,219.01
22.0,219.204,36.739,220.117
23.0,218.752,228.675,224.007
24.0,216.562,229.14,225.187
25.0,216.331,233.747,226.804
26.0,217.956,222.93,211.849
27.0,217.881,217.065,219.455
28.0,221.373,212.807,218.259
29.0,215.894,214.706,216.892
30.0,217.92,217.402,221.133
31.0,215.253,219.684,228.338
32.0,212.713,225.698,233.259
33.0,216.427,226.346,232.77
34.0,217.533,219.485,231.665
35.0,217.174,218.313,233.151
36.0,217.95,215.866,223.267
37.0,219.79,218.075,226.55
38.0,219.601,211.232,225.652
39.0,224.243,211.659,232.616
40.0,218.994,216.9,234.825
41.0,217.381,218.934,231.625
42.0,219.657,219.372,227.767
43.0,219.292,219.505,220.653
44.0,209.866,223.901,219.879
45.0,215.095,222.914,219.319
46.0,216.6,217.857,219.268
47.0,203.805,210.333,221.842
48.0,212.772,209.845,220.529
49.0,206.458,216.152,227.973
50.0,206.524,214.818,225.665
51.0,210.19,221.491,225.633
52.0,211.67,217.02,225.167
53.0,217.933,214.15,224.301
54.0,215.806,214.391,218.171
55.0,207.892,214.705,211.961
56.0,212.195,208.581,39.349
57.0,204.995,198.776,176.173
58.0,209.596,27.343,219.391
59.0,204.915,178.582,217.088
